Latitude,Longitude,Stop Name
14.750183, -17.514963, "Mosquée de Ngor"
14.742994, -17.515915, "Embassade du Gabon"
14.729942, -17.501366, "Hotel Phare des Mamelles"
14.715049, -17.483108, "Hopital Militaire de Ouakam"
14.713214, -17.463984, "Sacré Coeur"
